Suit_1,Suit_2,Suit_3,Suit_4,Pr_suit_1,Pr_suit_2,Pr_suit_3,Pr_suit_4,Pr_10_1,Pr_10_2,Pr_10_3,Pr_10_4
5.0,0.0,1.0,2.0,0.114,0.527,0.205,0.153,0.865,0.587,0.604,0.663
5.0,0.0,1.0,3.0,0.104,0.497,0.258,0.141,0.851,0.559,0.604,0.724
5.0,0.0,1.0,4.0,0.092,0.456,0.324,0.127,0.836,0.531,0.604,0.786
5.0,0.0,1.0,5.0,0.079,0.405,0.405,0.11,0.821,0.505,0.604,0.846
5.0,0.0,2.0,0.0,0.121,0.543,0.121,0.215,0.88,0.619,0.663,0.55
5.0,0.0,2.0,1.0,0.114,0.527,0.153,0.205,0.865,0.587,0.663,0.604
5.0,0.0,2.0,2.0,0.105,0.506,0.194,0.194,0.848,0.554,0.663,0.663
5.0,0.0,2.0,3.0,0.095,0.478,0.246,0.18,0.831,0.521,0.663,0.724
5.0,0.0,2.0,4.0,0.084,0.44,0.312,0.164,0.811,0.489,0.663,0.786
5.0,0.0,2.0,5.0,0.072,0.392,0.392,0.143,0.792,0.458,0.663,0.846
5.0,0.0,3.0,0.0,0.111,0.51,0.111,0.268,0.868,0.595,0.724,0.55
5.0,0.0,3.0,1.0,0.104,0.497,0.141,0.258,0.851,0.559,0.724,0.604
5.0,0.0,3.0,2.0,0.095,0.478,0.18,0.246,0.831,0.521,0.724,0.663
5.0,0.0,3.0,3.0,0.086,0.453,0.231,0.231,0.808,0.483,0.724,0.724
5.0,0.0,3.0,4.0,0.076,0.419,0.295,0.211,0.783,0.444,0.724,0.786
5.0,0.0,3.0,5.0,0.064,0.374,0.374,0.187,0.756,0.408,0.724,0.846
5.0,0.0,4.0,0.0,0.099,0.468,0.099,0.334,0.857,0.571,0.786,0.55
5.0,0.0,4.0,1.0,0.092,0.456,0.127,0.324,0.836,0.531,0.786,0.604
5.0,0.0,4.0,2.0,0.084,0.44,0.164,0.312,0.811,0.489,0.786,0.663
5.0,0.0,4.0,3.0,0.076,0.419,0.211,0.295,0.783,0.444,0.786,0.724
5.0,0.0,4.0,4.0,0.066,0.389,0.272,0.272,0.75,0.4,0.786,0.786
5.0,0.0,4.0,5.0,0.056,0.35,0.35,0.244,0.714,0.357,0.786,0.846
5.0,0.0,5.0,0.0,0.086,0.414,0.086,0.414,0.846,0.55,0.846,0.55
5.0,0.0,5.0,1.0,0.079,0.405,0.11,0.405,0.821,0.505,0.846,0.604
5.0,0.0,5.0,2.0,0.072,0.392,0.143,0.392,0.792,0.458,0.846,0.663
5.0,0.0,5.0,3.0,0.064,0.374,0.187,0.374,0.756,0.408,0.846,0.724
5.0,0.0,5.0,4.0,0.056,0.35,0.244,0.35,0.714,0.357,0.846,0.786
5.0,0.0,5.0,5.0,0.047,0.318,0.318,0.318,0.667,0.308,0.846,0.846
5.0,1.0,0.0,0.0,0.172,0.567,0.13,0.13,0.9,0.714,0.505,0.505
5.0,1.0,0.0,1.0,0.163,0.55,0.163,0.123,0.89,0.692,0.505,0.561
5.0,1.0,0.0,2.0,0.153,0.527,0.205,0.114,0.88,0.67,0.505,0.622
5.0,1.0,0.0,3.0,0.141,0.497,0.258,0.104,0.868,0.647,0.505,0.687
5.0,1.0,0.0,4.0,0.127,0.456,0.324,0.092,0.857,0.625,0.505,0.754
5.0,1.0,0.0,5.0,0.11,0.405,0.405,0.079,0.846,0.604,0.505,0.821
5.0,1.0,1.0,0.0,0.163,0.55,0.123,0.163,0.89,0.692,0.561,0.505
5.0,1.0,1.0,1.0,0.155,0.535,0.155,0.155,0.878,0.667,0.561,0.561
5.0,1.0,1.0,2.0,0.145,0.513,0.196,0.145,0.865,0.64,0.561,0.622
5.0,1.0,1.0,3.0,0.133,0.484,0.249,0.133,0.851,0.613,0.561,0.687
5.0,1.0,1.0,4.0,0.119,0.446,0.315,0.119,0.836,0.586,0.561,0.754
5.0,1.0,1.0,5.0,0.103,0.397,0.397,0.103,0.821,0.561,0.561,0.821
